android|create,fork,index,list,delete,refactor
angular|create,combine,fork,index,list,start,stop,delete,refactor,test
angular2|create,combine,fork,index,list,start,stop,delete,refactor,test
ant|create,fork,index,list,delete,refactor
bash|create,fork,index,list,delete,refactor
chrome|create,fork,index,list,delete,refactor
compass|create,combine,fork,index,list,start,stop,delete,refactor,test
dojo|create,combine,fork,index,list,start,stop,delete,refactor,test
extjs5|create,combine,fork,index,list,start,stop,delete,refactor,test
extjs6|create,combine,fork,index,list,start,stop,delete,refactor,test
java|create,fork,index,list,delete,refactor
jquery|create,combine,fork,index,list,start,stop,delete,refactor,test
nativeScript|create,fork,index,list,delete,refactor
node|create,fork,index,list,delete,refactor
php|create,fork,index,list,delete,refactor
python|create,combine,fork,index,list,start,stop,delete,refactor,test
svg|create,combine,fork,index,list,start,stop,delete,refactor,test
three|create,combine,fork,index,list,start,stop,delete,refactor,test
tween|create,combine,fork,index,list,start,stop,delete,refactor,test
